frase,sentimento
"Eu amei esse filme",1
"O produto é ótimo",1
"Que dia maravilhoso",1
"Gostei muito da comida",1
"O atendimento foi excelente",1
"Serviço de primeira qualidade",1
"Funcionou perfeitamente bem",1
"Recomendo para todos",1
"Entrega rápida e eficiente",1
"Muito feliz com o resultado",1
"Experiência incrível",1
"Muito satisfeito com a compra",1
"Ambiente agradável e limpo",1
"Funcionários super atenciosos",1
"Maravilhoso, nota 10",1
"Sensacional, voltarei com certeza",1
"Produto excelente, superou as expectativas",1
"Nota 10, tudo perfeito",1
"Recomendo de olhos fechados",1
"Melhor escolha que fiz",1
"Eu odiei isso",0
"O atendimento foi péssimo",0
"Não gostei do serviço",0
"Horrível, perdi meu tempo",0
"Aplicativo cheio de erros",0
"Nada funcionou direito",0
"Muito ruim, não recomendo",0
"A comida estava fria",0
"Demorou demais para chegar",0
"Me arrependi de ter comprado",0
"Não atendeu às expectativas",0
"Experiência decepcionante",0
"Serviço horrível",0
"O site é confuso e lento",0
"Fui mal tratado",0
"Produto veio com defeito",0
"Pior compra que já fiz",0
"Não volto nunca mais",0
"Lixo de atendimento",0
"Total desrespeito com o cliente",0
"Que filme péssimo",0
"Filme horrível",0
"Filme ruim demais",0
"Ele é legal",1
"Ele é chato",0
"Ele é uma pessoa",2
"Recebi o produto",2
"Está funcionando",2
"É o que eu pedi",2
"Foi entregue ontem",2
"O produto chegou",2
"Está aqui comigo",2
"Testei ontem",2
"É isso",2
"Comprei semana passada",2
